epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.244,1.01177,1.85267,1.01907,0.92617,0.94422,0.96705,0.72733,0.89504,1.75956,0.95055,0.000661905,0.000661905,0.000661905
2,439.525,0.9715,1.15614,0.99564,0.95161,0.91625,0.97852,0.73883,0.88903,1.1584,0.99919,0.00130227,0.00130227,0.00130227
3,596.745,0.98717,0.94086,1.00338,0.95248,0.93384,0.97726,0.74517,0.84987,0.83031,0.9852,0.00191623,0.00191623,0.00191623
4,750.988,0.93429,0.81272,0.96913,0.95251,0.96416,0.97961,0.73268,0.8561,0.72672,0.94649,0.0018812,0.0018812,0.0018812
5,913.719,0.93809,0.73305,0.97655,0.96136,0.98087,0.98851,0.75469,0.83842,0.65515,0.93782,0.0018416,0.0018416,0.0018416
6,1070.17,0.9113,0.67074,0.9697,0.96056,0.96022,0.98218,0.76569,0.8045,0.61958,0.93053,0.001802,0.001802,0.001802
7,1224.95,0.88968,0.63747,0.95887,0.96792,0.97317,0.99042,0.79662,0.75928,0.53929,0.94728,0.0017624,0.0017624,0.0017624
8,1382.4,0.8828,0.61045,0.95189,0.97967,0.96774,0.99081,0.75042,0.8644,0.5534,0.96746,0.0017228,0.0017228,0.0017228
9,1545.59,0.8503,0.57401,0.94786,0.96231,0.97491,0.98419,0.80083,0.74799,0.51377,0.93253,0.0016832,0.0016832,0.0016832
10,1697.45,0.82378,0.55895,0.94388,0.96426,0.96714,0.99153,0.79994,0.75232,0.50515,0.92866,0.0016436,0.0016436,0.0016436
11,1851.64,0.82695,0.54785,0.92838,0.97608,0.97491,0.98614,0.81039,0.70218,0.47192,0.90779,0.001604,0.001604,0.001604
12,2006.34,0.79944,0.53559,0.9208,0.97774,0.98208,0.98702,0.8086,0.70885,0.48949,0.90839,0.0015644,0.0015644,0.0015644
13,2168.36,0.80227,0.51849,0.92369,0.96859,0.98925,0.98826,0.81078,0.71739,0.49624,0.91547,0.0015248,0.0015248,0.0015248
14,2321.66,0.77043,0.51272,0.92253,0.97446,0.95743,0.98428,0.81603,0.6987,0.4852,0.91012,0.0014852,0.0014852,0.0014852
15,2477.41,0.76833,0.50584,0.91742,0.98375,0.96774,0.9933,0.79502,0.7463,0.44112,0.91084,0.0014456,0.0014456,0.0014456
16,2630.85,0.78006,0.50833,0.91245,0.97871,0.98849,0.99189,0.80376,0.70958,0.45935,0.89114,0.001406,0.001406,0.001406
17,2792.1,0.77755,0.49854,0.92286,0.97669,0.98925,0.98862,0.82593,0.67243,0.41929,0.88578,0.0013664,0.0013664,0.0013664
