epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.888,1.01177,1.85267,1.01907,0.92617,0.94422,0.96705,0.72733,0.89504,1.75956,0.95055,0.000661905,0.000661905,0.000661905
2,341.184,0.97353,1.16118,0.99672,0.94483,0.92075,0.96993,0.73342,0.91088,1.12601,1.01081,0.00130227,0.00130227,0.00130227
3,492.046,0.99917,0.93973,1.00435,0.94994,0.95227,0.98548,0.76134,0.81136,0.79811,0.96733,0.00191623,0.00191623,0.00191623
4,642.983,0.95249,0.80355,0.97173,0.9707,0.95007,0.98443,0.79042,0.79133,0.68028,0.93271,0.0018812,0.0018812,0.0018812
5,796.793,0.90881,0.71033,0.9713,0.9596,0.98208,0.98574,0.77097,0.78702,0.69619,0.952,0.0018416,0.0018416,0.0018416
6,968.289,0.90436,0.67403,0.97516,0.93482,0.93907,0.97269,0.71741,0.8703,0.64016,0.95602,0.001802,0.001802,0.001802
7,1198.46,0.89544,0.64132,0.96773,0.9845,0.91092,0.96777,0.76993,0.7977,0.66572,0.94786,0.0017624,0.0017624,0.0017624
8,1379.88,0.87362,0.6234,0.94726,0.98555,0.97758,0.99274,0.793,0.80661,0.53747,0.94899,0.0017228,0.0017228,0.0017228
9,1598.99,0.86328,0.57991,0.94966,0.96349,0.98566,0.99108,0.80793,0.74802,0.52426,0.91738,0.0016832,0.0016832,0.0016832
10,1810.26,0.83675,0.56758,0.94625,0.96249,0.94624,0.98195,0.76372,0.78446,0.59819,0.92729,0.0016436,0.0016436,0.0016436
