epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5162,0.92836,0.8934,0.93777,0.99701,0.69697,0.73331,0.59283,0.69851,0.70112,0.83123,0.00044,0.00044,0.00044
2,99.5211,0.7546,0.65101,0.9228,1,0.7054,0.74237,0.63544,0.57204,0.62309,0.80618,0.00088515,0.00088515,0.00088515
3,152.421,0.66953,0.58582,0.87059,0.97211,0.70424,0.73131,0.6218,0.58085,0.66397,0.80911,0.00131512,0.00131512,0.00131512
4,203.446,0.65669,0.57374,0.86989,1,0.67476,0.70342,0.60977,0.62429,0.82925,0.81521,0.00172991,0.00172991,0.00172991
5,239.697,0.63901,0.55508,0.8487,0.99829,0.66667,0.72257,0.63087,0.55982,0.72982,0.80563,0.001868,0.001868,0.001868
6,274.036,0.61783,0.5482,0.86046,0.95921,0.68687,0.71144,0.61452,0.57304,0.73744,0.81184,0.001835,0.001835,0.001835
7,304.52,0.57785,0.51799,0.83866,1,0.68612,0.72516,0.6416,0.59471,0.74367,0.81145,0.001802,0.001802,0.001802
8,331.63,0.58423,0.52976,0.84792,0.99836,0.69697,0.72794,0.61983,0.60606,0.70004,0.80862,0.001769,0.001769,0.001769
9,359.745,0.61562,0.515,0.85192,0.99827,0.66667,0.7066,0.61901,0.61087,0.81105,0.81994,0.001736,0.001736,0.001736
10,387.619,0.60752,0.55053,0.88053,0.99594,0.66667,0.70052,0.61721,0.55464,0.70129,0.8075,0.001703,0.001703,0.001703
11,415.383,0.58609,0.52992,0.87769,0.99601,0.66667,0.68498,0.61537,0.54855,0.65734,0.79824,0.00167,0.00167,0.00167
12,441.245,0.57319,0.48006,0.86879,0.99603,0.66667,0.67207,0.60247,0.5554,0.71221,0.80024,0.001637,0.001637,0.001637
13,467.311,0.54935,0.44522,0.84833,0.99829,0.66667,0.6797,0.59813,0.60141,0.72211,0.80832,0.001604,0.001604,0.001604
14,495.418,0.57317,0.487,0.85773,0.99784,0.66667,0.68257,0.60984,0.55354,0.65366,0.7978,0.001571,0.001571,0.001571
15,523.008,0.56561,0.48675,0.85339,0.99723,0.66667,0.67908,0.60595,0.59377,0.66748,0.80747,0.001538,0.001538,0.001538
16,550.257,0.528,0.44223,0.83301,0.99723,0.66667,0.67461,0.59635,0.56944,0.74158,0.80659,0.001505,0.001505,0.001505
17,577.161,0.53189,0.4495,0.85107,0.99734,0.66667,0.67657,0.61767,0.53063,0.72366,0.7971,0.001472,0.001472,0.001472
18,606.224,0.49176,0.40981,0.82027,0.9969,0.66667,0.68489,0.61881,0.5756,0.64338,0.80744,0.001439,0.001439,0.001439
19,633.325,0.51744,0.44772,0.85376,0.99762,0.66667,0.68307,0.62029,0.52109,0.59862,0.80004,0.001406,0.001406,0.001406
20,663.304,0.54027,0.44041,0.83976,0.9987,0.66667,0.68149,0.61356,0.56127,0.64123,0.80536,0.001373,0.001373,0.001373
21,689.802,0.49796,0.41794,0.837,0.99882,0.66667,0.68125,0.61746,0.57582,0.64892,0.80678,0.00134,0.00134,0.00134
22,716.771,0.50982,0.41844,0.83527,0.9985,0.66667,0.6792,0.6179,0.5343,0.61611,0.80223,0.001307,0.001307,0.001307
23,743.801,0.4747,0.38931,0.81131,0.99785,0.66667,0.6779,0.61413,0.52562,0.62251,0.80004,0.001274,0.001274,0.001274
24,770.585,0.47764,0.4103,0.84362,0.99801,0.66667,0.67766,0.60668,0.57235,0.70925,0.80536,0.001241,0.001241,0.001241
25,799.122,0.48189,0.40126,0.83546,0.9982,0.66667,0.68632,0.62327,0.56079,0.71542,0.80269,0.001208,0.001208,0.001208
26,826.102,0.46112,0.37681,0.81455,0.99843,0.66667,0.69048,0.63123,0.53146,0.69925,0.79636,0.001175,0.001175,0.001175
27,852.898,0.50414,0.40821,0.8429,0.9983,0.66667,0.68558,0.61809,0.56511,0.75244,0.80421,0.001142,0.001142,0.001142
28,882.772,0.45008,0.35797,0.81144,0.99835,0.66667,0.68042,0.61438,0.55168,0.66745,0.80077,0.001109,0.001109,0.001109
29,909.659,0.45618,0.40063,0.84504,0.99835,0.66667,0.67769,0.62069,0.50966,0.62715,0.79098,0.001076,0.001076,0.001076
30,936.257,0.42503,0.35534,0.81402,0.99821,0.66667,0.67866,0.6186,0.54611,0.64668,0.79493,0.001043,0.001043,0.001043
31,963.277,0.42733,0.35828,0.81681,0.99856,0.66667,0.68057,0.6251,0.53709,0.68178,0.79685,0.00101,0.00101,0.00101
32,992.488,0.43078,0.37179,0.82837,0.99881,0.66667,0.68561,0.62147,0.54635,0.65646,0.80177,0.000977,0.000977,0.000977
